Name    Number   BeamID   E          N          U

Tile011        0        0  -149.7854   265.8134   377.0080
Tile012        1        0   -95.3654   270.1874   377.2820
Tile013        2        0   -88.5124   266.0204   377.3060
Tile014        3        0   -78.6984   258.4304   377.2880
Tile015        4        0   -86.9404   248.4514   377.3360
Tile016        5        0  -102.3254   244.0874   377.2550
Tile017        6        0   -93.3464   242.2784   377.2670
Tile018        7        0  -148.3304   220.2704   377.2110
Tile021        8        0  -132.9394   282.6104   376.9990
Tile022        9        0  -139.8674   275.4974   377.0150
Tile023       10        0  -123.6674   284.8534   377.0470
Tile024       11        0   -92.8894   281.3574   377.2510
Tile025       12        0   -77.8354   282.8384   377.2500
Tile026       13        0   -83.4764   277.5624   377.2970
Tile027       14        0   -76.9884   272.6364   377.2950
Tile028       15        0  -176.0064   289.9024   376.6200
Tile031       16        0   -23.6204   201.5454   376.8020
Tile032       17        0   -23.8024   222.3524   376.8690
Tile033       18        0   -40.4894   235.1694   376.9580
Tile034       19        0   -54.5274   237.5174   377.1200
Tile035       20        0   -64.8514   250.8124   377.2360
Tile036       21        0   -70.0754   259.4014   377.2630
Tile037       22        0   -60.0574   263.6754   377.1770
Tile038       23        0   -50.6764   264.5454   377.0970
Tile041       24        0   -67.9904   271.1024   377.2330
Tile042       25        0   -60.0584   271.9044   377.2010
Tile043       26        0   -70.8854   278.8174   377.2490
Tile044       27        0   -45.5404   273.2444   377.0630
Tile045       28        0   -53.1564   276.2674   377.0870
Tile046       29        0   -22.6594   263.6934   376.9450
Tile047       30        0   -55.0974   284.2844   377.1780
Tile048       31        0   -14.9004   273.8694   376.9070
Tile051       32        0   -55.5604   124.8004   376.8000
Tile052       33        0   177.4666   -43.3776   375.0020
Tile053       34        0   -21.7104    77.0044   376.3480
Tile054       35        0    91.8086   -80.5656   375.7570
Tile055       36        0   153.6996  -259.9296   376.4730
Tile056       37        0   -67.5824   -22.3616   376.1720
Tile057       38        0  -118.0374   -39.8736   376.0510
Tile058       39        0   -87.5164   125.1964   377.0280
Tile061       40        0  -105.2814   217.1794   377.2520
Tile062       41        0   -98.5304   230.1614   377.2570
Tile063       42        0   -81.8454   229.3364   377.2670
Tile064       43        0   -79.5414   238.1274   377.2670
Tile065       44        0   -75.1204   247.0014   377.2520
Tile066       45        0   -71.0174   235.9284   377.2360
Tile067       46        0   -62.5674   228.9864   377.2070
Tile068       47        0   -50.6914   221.8844   377.0750
Tile071       48        0  -195.9804   189.7944   377.1580
Tile072       49        0  -198.1944    95.1494   377.0210
Tile073       50        0  -284.4574  -196.1816   374.8980
Tile074       51        0  -388.1524   -44.0226   375.3690
Tile075       52        0  -452.6864   -15.9336   375.1080
Tile076       53        0  -468.8174   185.1864   374.7490
Tile077       54        0  -364.5244   183.0974   375.7360
Tile078       55        0  -369.6084   266.4834   375.2370
Tile081       56        0  -160.4654   573.2064   374.7700
Tile082       57        0  -128.0464   350.4934   376.5670
Tile083       58        0   -69.7714   294.0304   377.1890
Tile084       59        0   -78.7314   297.2584   377.1930
Tile085       60        0  -103.9414   300.9134   377.0470
Tile086       61        0  -100.1724   288.8954   377.1540
Tile087       62        0  -395.4524   371.1514   374.5120
Tile088       63        0  -263.5474   389.2734   375.3190
Tile091       64        0   326.1406   203.6074   373.9420
Tile092       65        0   173.4246   193.5944   375.0290
Tile093       66        0    -2.5154   292.8404   376.8890
Tile094       67        0   -46.5544   287.4684   377.1120
Tile095       68        0   -56.1414   295.9214   377.1530
Tile096       69        0   -33.7054   351.0474   376.9730
Tile097       70        0    50.1266   536.1584   376.1780
Tile098       71        0    84.8796   519.1404   376.3110
Tile101       72        0  -518.0464   632.5024   372.6010
