Name    Number   BeamID   E          N          U
Tile102       73        0  -489.9434   604.5674   372.9040
Tile103       74        0  -575.5574   415.0074   373.3710
Tile104       75        0  -585.6754  -101.5306   375.2090
Tile105       76        0  -653.4674   142.2544   374.4590
Tile106       77        0  -685.0274   212.1674   374.2330
Tile107       78        0 -1079.5984    87.0174   377.0060
Tile108       79        0 -1026.0744   574.5264   374.0360
Tile111       80        0  -333.7584  1660.7314   371.0650
Tile112       81        0  -227.1514   898.1284   373.6910
Tile113       82        0  -173.7174   781.6374   374.2140
Tile114       83        0  -256.9524   892.0044   373.4890
Tile115       84        0  -195.0184   762.8924   374.0900
Tile116       85        0  -249.6474   731.7084   373.7940
Tile117       86        0  -300.6964   704.3254   373.5110
Tile118       87        0  -889.4714  1088.1354   370.3780
Tile121       88        0   716.3926  1405.2544   374.5990
Tile122       89        0   288.0656   618.2644   375.1310
Tile123       90        0   238.3096   768.4124   375.8020
Tile124       91        0   227.8776   819.7234   375.7450
Tile125       92        0    61.4426   815.2544   375.9980
Tile126       93        0   -58.8744   810.5294   375.1670
Tile127       94        0    35.2236   950.2414   376.2720
Tile128       95        0     1.0146  1412.3624   373.6790
Tile131       96        0   839.9426   990.2264   372.6930
Tile132       97        0  1177.2936   858.6314   372.1190
Tile133       98        0  1313.6106   553.3714   370.3510
Tile134       99        0   556.1216   244.4844   372.2810
Tile135      100        0   571.5406   359.2094   372.5060
Tile136      101        0   488.8566   424.9794   372.9640
Tile137      102        0   528.5976   539.1934   372.7860
Tile138      103        0   381.0686   652.8634   374.2480
Tile141      104        0  1100.9446   151.7594   369.0620
Tile142      105        0  1201.1316  -443.2506   368.3250
Tile143      106        0   498.6286  -264.5946   373.2170
Tile144      107        0   301.1926   -48.9526   374.6150
Tile145      108        0   370.6476   -38.4156   374.3370
Tile146      109        0   544.3236   -91.1526   372.8090
Tile147      110        0   506.7926    -3.2166   372.8000
Tile148      111        0   523.7266    75.4934   372.6100
Tile151      112        0   653.7736 -1037.7487   371.0680
Tile152      113        0   442.9896  -835.3066   372.2480
Tile153      114        0   -58.8014  -505.3326   372.9100
Tile154      115        0    37.0646  -405.0506   374.0310
Tile155      116        0   232.8416  -357.8916   375.2590
Tile156      117        0   257.9836  -366.4536   375.2180
Tile157      118        0   325.6876  -318.5086   375.0260
Tile158      119        0   326.1006  -306.3076   375.1250
Tile161      120        0  -412.4574  -409.0606   373.9660
Tile162      121        0  -141.8984  -420.2616   373.5000
Tile163      122        0  -480.2704  -817.3246   375.7170
Tile164      123        0  -575.5334  -863.7826   375.5190
Tile165      124        0  -674.0214  -638.8716   375.3370
Tile166      125        0  -631.4034  -245.1076   375.5410
Tile167      126        0  -633.2374  -169.3626   375.6130
Tile168      127        0  -568.5404  -257.6606   375.2430
